City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
73,Kissidougou,GN,2/10/2022 15:47,9.18,-10.1,85.77,50,77,5.28
74,La Macarena,CO,2/10/2022 15:47,2.18,-73.78,90.05,51,90,7.76
75,Kungurtug,RU,2/10/2022 15:47,50.6,97.52,28.69,92,100,2.91
76,Gidole,ET,2/10/2022 15:47,5.65,37.37,62.17,83,57,4.09
77,Turukhansk,RU,2/10/2022 15:47,65.82,87.98,15.73,94,99,14.76
78,Kindu,CD,2/10/2022 15:47,-2.95,25.95,74.16,90,100,1.5
79,Port Hardy,CA,2/10/2022 15:43,50.7,-127.42,51.8,100,90,5.82
80,Pisco,PE,2/10/2022 15:47,-13.7,-76.22,66,77,0,9.17
81,Bengkulu,ID,2/10/2022 15:47,-3.8,102.27,76.75,87,100,4.61
82,Xichang,CN,2/10/2022 15:47,27.9,102.26,59.92,77,2,2.53
83,Khatanga,RU,2/10/2022 15:47,71.97,102.5,1.15,86,0,12.86
84,Ancud,CL,2/10/2022 15:47,-41.87,-73.82,53.6,62,0,12.75
85,Bogovarovo,RU,2/10/2022 15:47,58.98,47.02,36.1,86,41,7.92
86,Verkhnevilyuysk,RU,2/10/2022 15:47,63.45,120.32,-4.52,91,9,3.51
87,Butaritari,KI,2/10/2022 15:47,3.07,172.79,81.37,77,58,11.48
88,Lorengau,PG,2/10/2022 15:47,-2.02,147.27,81,80,100,7.65
89,Chokurdakh,RU,2/10/2022 15:47,70.63,147.92,-4.95,90,63,6.89
90,Bredasdorp,ZA,2/10/2022 15:47,-34.53,20.04,62.6,45,97,23.04
91,Klaksvik,FO,2/10/2022 15:47,62.23,-6.59,48.2,93,24,9.17
92,Flin Flon,CA,2/10/2022 15:47,54.77,-101.86,26.6,79,75,14.99
93,Hobart,AU,2/10/2022 15:45,-42.88,147.33,53.6,81,90,3.36
94,Mount Gambier,AU,2/10/2022 15:47,-37.83,140.77,51.8,93,75,5.82
95,Grindavik,IS,2/10/2022 15:47,63.84,-22.43,44.6,87,90,23.04
96,Ereymentau,KZ,2/10/2022 15:47,51.62,73.1,32.11,94,98,21.54
97,Severo-Kurilsk,RU,2/10/2022 15:47,50.68,156.12,42.03,80,85,7.38
98,Buzmeyin,TM,2/10/2022 15:47,38.05,58.21,53.6,25,37,11.41
99,Portree,GB,2/10/2022 15:47,57.41,-6.19,52,92,100,15.01
100,Merrill,US,2/10/2022 15:47,45.18,-89.68,33.8,85,90,10.29
101,Yar-Sale,RU,2/10/2022 15:47,66.83,70.83,12.24,96,100,8.37
102,Chuy,UY,2/10/2022 15:47,-33.7,-53.46,64.83,55,11,13.27
103,Beloha,MG,2/10/2022 15:47,-25.17,45.05,71.22,69,3,20.33
104,Mahebourg,MU,2/10/2022 15:47,-20.41,57.7,71.01,70,42,7
105,Coquimbo,CL,2/10/2022 15:47,-29.95,-71.34,59,72,40,16.11
106,Grand Gaube,MU,2/10/2022 15:47,-20.01,57.66,71.01,70,18,7
107,Amalapuram,IN,2/10/2022 15:47,16.58,82.02,76.1,67,49,2.28
108,Bilma,NE,2/10/2022 15:47,18.69,12.92,85.82,13,0,5.12
109,Fukue,JP,2/10/2022 15:47,32.69,128.84,66.52,63,47,15.41
110,Abu Samrah,SY,2/10/2022 15:47,35.3,37.18,72.63,50,21,6.78
111,Lompoc,US,2/10/2022 15:47,34.64,-120.46,44.6,65,1,5.82
112,Kuybysheve,UA,2/10/2022 15:47,47.36,36.65,54.36,73,100,5.93
