City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
87,Tezu,IN,27.92,96.17,73.45,63,100,2.19,overcast clouds,2/10/2022 19:35
88,New Norfolk,AU,-42.78,147.06,51.01,70,34,2.42,scattered clouds,2/10/2022 19:36
89,Saint-Philippe,RE,-21.36,55.77,66.2,63,0,6.93,clear sky,2/10/2022 19:34
90,Cherskiy,RU,68.75,161.3,8.47,88,89,3.36,overcast clouds,2/10/2022 19:34
91,Sabha,LY,27.04,14.43,63.63,42,0,9.22,clear sky,2/10/2022 19:36
92,Karakol,KG,42.49,78.39,32.18,67,0,4.03,clear sky,2/10/2022 19:36
93,Jamestown,US,42.1,-79.24,43,64,75,8.05,broken clouds,2/10/2022 19:34
94,Bahia Blanca,AR,-38.72,-62.27,80.28,17,0,3.24,clear sky,2/10/2022 19:36
95,Nishihara,JP,26.18,127.76,75.2,60,40,11.41,shower rain,2/10/2022 19:36
96,Kulhudhuffushi,MV,6.62,73.07,82.72,70,51,7.05,broken clouds,2/10/2022 19:36
97,Smidovich,RU,48.6,133.82,43.03,88,99,13.11,overcast clouds,2/10/2022 19:36
98,Kodiak,US,57.79,-152.41,33.8,55,1,3.36,clear sky,2/10/2022 19:36
99,Gubkin,RU,51.28,37.55,51.66,92,100,16.44,overcast clouds,2/10/2022 19:36
100,Sangar,RU,63.92,127.47,-15.3,89,45,2.8,scattered clouds,2/10/2022 19:36
101,Moron,AR,-34.65,-58.62,75,43,0,12.75,clear sky,2/10/2022 19:36
102,Hamilton,US,39.18,-84.53,57,50,1,10.29,clear sky,2/10/2022 19:36
103,Georgetown,MY,5.41,100.34,75.2,94,20,8.28,few clouds,2/10/2022 19:32
104,Patrocinio,BR,-18.94,-46.99,78.8,57,90,10.29,overcast clouds,2/10/2022 19:36
105,Meulaboh,ID,4.14,96.13,77.81,84,99,4.61,overcast clouds,2/10/2022 19:34
106,Cooma,AU,-36.23,149.13,46.4,100,90,14.99,overcast clouds,2/10/2022 19:35
107,Sorland,NO,67.67,12.69,46.33,73,100,17.22,overcast clouds,2/10/2022 19:36
108,Gurupi,BR,-11.73,-49.07,82.81,65,100,4.61,heavy intensity rain,2/10/2022 19:36
109,Coachella,US,33.68,-116.17,88,13,1,3.36,clear sky,2/10/2022 19:36
110,Ust-Tsilma,RU,65.44,52.15,33.19,93,95,7.94,overcast clouds,2/10/2022 19:36
111,Plettenberg Bay,ZA,-34.05,23.37,58.51,83,7,5.97,clear sky,2/10/2022 19:36
112,Dikson,RU,73.51,80.55,17.08,97,100,12.1,light snow,2/10/2022 19:36
113,Staunton,US,38.15,-79.07,54,55,90,5.82,overcast clouds,2/10/2022 19:36
114,Esperance,AU,-33.87,121.9,64.4,42,100,6.93,overcast clouds,2/10/2022 19:36
115,Adeje,ES,28.12,-16.73,86,15,0,25.28,clear sky,2/10/2022 19:36
116,Kosh-Agach,RU,50,88.67,17.56,85,0,2.42,clear sky,2/10/2022 19:36
117,Port Hedland,AU,-20.32,118.57,73.4,88,0,6.93,clear sky,2/10/2022 19:36
118,Puerto Suarez,BO,-18.95,-57.8,86,48,20,11.41,few clouds,2/10/2022 19:36
119,Batagay-Alyta,RU,67.8,130.41,0.5,92,100,0.65,overcast clouds,2/10/2022 19:35
120,Sao Felix Do Xingu,BR,-6.64,-51.99,90.82,49,100,0.96,overcast clouds,2/10/2022 19:36
121,Abonnema,NG,4.71,6.79,77,88,20,2.24,few clouds,2/10/2022 19:36
122,Ostrovnoy,RU,68.05,39.51,27.3,95,41,15.23,scattered clouds,2/10/2022 19:34
123,Yulara,AU,-25.24,130.99,66.2,26,0,5.82,clear sky,2/10/2022 19:36
124,Gondanglegi,ID,-7.75,112.01,73.15,91,94,2.89,overcast clouds,2/10/2022 19:36
125,Khatanga,RU,71.97,102.5,-6.93,87,9,8.19,clear sky,2/10/2022 19:36
126,Chuy,UY,-33.7,-53.46,62.82,64,11,8.7,few clouds,2/10/2022 19:36
127,Mahebourg,MU,-20.41,57.7,68,72,20,3.36,few clouds,2/10/2022 19:33
128,Hervey Bay,AU,-25.3,152.85,75.99,82,1,5.01,clear sky,2/10/2022 19:36
129,Shenjiamen,CN,29.96,122.3,65.26,78,24,4.12,few clouds,2/10/2022 19:36
130,Lensk,RU,60.73,114.93,-3.05,90,6,2.24,clear sky,2/10/2022 19:36
131,Lampa,CL,-33.28,-70.9,88,28,0,19.46,clear sky,2/10/2022 19:36
132,Yarada,IN,17.65,83.27,77,88,66,2.24,mist,2/10/2022 19:36
133,Dakar,SN,14.69,-17.44,78.8,88,0,16.11,clear sky,2/10/2022 19:32
134,Svetlaya,RU,46.54,138.33,40.64,69,49,3.69,scattered clouds,2/10/2022 19:36
135,Kavaratti,IN,10.57,72.64,82.36,66,5,2.01,clear sky,2/10/2022 19:36
136,Winona,US,43.97,-91.77,59,51,75,10.29,broken clouds,2/10/2022 19:34
137,Lebu,CL,-37.62,-73.65,59.47,67,0,9.04,clear sky,2/10/2022 19:36
138,Sao Raimundo Das Mangabeiras,BR,-7.02,-45.48,83.52,64,97,4.43,moderate rain,2/10/2022 19:36
139,Laguna,US,38.42,-121.42,73.99,30,1,4.7,clear sky,2/10/2022 19:34
140,Kaitangata,NZ,-46.28,169.85,55,56,55,13,broken clouds,2/10/2022 19:34
141,Bethel,US,41.37,-73.41,45,39,1,5.82,clear sky,2/10/2022 19:36
142,Halifax,CA,44.65,-63.57,45,38,0,5.82,clear sky,2/10/2022 19:35
143,Labuhan,ID,-6.88,112.21,75.22,92,100,3.6,overcast clouds,2/10/2022 19:35
144,San Patricio,US,28.02,-97.52,78.8,44,40,4.7,scattered clouds,2/10/2022 19:36
145,Sao Paulo De Olivenca,BR,-3.38,-68.87,76.03,91,100,3.49,heavy intensity rain,2/10/2022 19:36
146,Ilulissat,GL,69.22,-51.1,19.4,67,75,8.05,broken clouds,2/10/2022 19:36
147,Carnarvon,AU,-24.87,113.63,68,88,40,8.05,scattered clouds,2/10/2022 19:36
148,Tefe,BR,-3.35,-64.71,73.4,94,90,5.82,moderate rain,2/10/2022 19:37
149,Fortuna,US,40.6,-124.16,57.2,71,1,4.7,clear sky,2/10/2022 19:34
150,Saskylakh,RU,71.92,114.08,-5.48,83,1,6.46,clear sky,2/10/2022 19:34
151,Sibolga,ID,1.74,98.78,77.59,80,100,2.59,light rain,2/10/2022 19:37
152,Catamarca,AR,-28.47,-65.79,84.99,24,6,5.99,clear sky,2/10/2022 19:37
153,Mollendo,PE,-17.02,-72.01,66.51,70,100,7.16,overcast clouds,2/10/2022 19:37
154,Ghanzi,BW,-21.57,21.78,81.66,21,49,6.35,scattered clouds,2/10/2022 19:37
155,Jiaocheng,CN,24.68,116.14,64.35,75,2,2.35,light rain,2/10/2022 19:37
156,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,20.8,broken clouds,2/10/2022 19:37
157,Husavik,IS,66.04,-17.34,37.4,75,0,5.82,clear sky,2/10/2022 19:35
158,The Valley,AI,18.22,-63.06,86,70,20,17.22,haze,2/10/2022 19:36
159,Embonas,GR,36.23,27.86,68,60,0,13.87,clear sky,2/10/2022 19:37
160,Mega,ET,4.05,38.3,60.31,89,74,7.52,broken clouds,2/10/2022 19:37
161,Kavarskas,LT,55.43,24.92,42.62,94,0,5.19,clear sky,2/10/2022 19:37
162,Boyolangu,ID,-8.12,111.89,73.26,88,67,7.52,broken clouds,2/10/2022 19:37
163,Hilo,US,19.73,-155.09,84.2,54,40,3.36,scattered clouds,2/10/2022 19:35
164,Sept-Iles,CA,50.2,-66.38,35.01,43,0,9.17,clear sky,2/10/2022 19:37
165,Lalas,GR,37.72,21.72,55.4,82,0,2.91,clear sky,2/10/2022 19:37
